Model Differences;;;;
Left: platform:/resource/net.dreiucker.DecDescLanguage/model/generated/DecDescLanguage.ecore;;  ;Right: platform:/resource/net.dreiucker.DecDescLanguage/model/generated/DecDescLanguage.ecore;
//Person;;<>;//Person;
//AbstractPerson/person; [ADDED to AbstractPerson.eStructuralFeatures];+-;//AbstractPerson/person; [DELETED from .eStructuralFeatures]
//SolutionDecision;;<>;//SolutionDecision;
//SolutionDecision;;<>;//SolutionDecision;
//AlternativesBlock/alternative; [ADDED to AlternativesBlock.eStructuralFeatures];+-;//AlternativesBlock/alternative; [DELETED from .eStructuralFeatures]
//AlternativesBlock/alternatives; [ADDED to AlternativesBlock.eStructuralFeatures];+-;//AlternativesBlock/alternatives; [DELETED from .eStructuralFeatures]
//AbstractSolution;;<>;//AbstractSolution;
//Reasoning;;<>;//Reasoning;
//SolutionDecision/solution; [ADDED to SolutionDecision.eStructuralFeatures];+-;//SolutionDecision/solution; [DELETED from .eStructuralFeatures]
//SolutionDecision/reason; [ADDED to SolutionDecision.eStructuralFeatures];+-;//SolutionDecision/reason; [DELETED from .eStructuralFeatures]
//Solution;;<>;//Solution;
//AbstractSolutions; [ADDED to AbstractSolution.eSuperTypes];+-;//AbstractSolutions; [REMOVED from .eSuperTypes]
//AbstractSolution/solution; [ADDED to AbstractSolution.eStructuralFeatures];+-;//AbstractSolution/solution; [DELETED from .eStructuralFeatures]
//AbstractSolution;;<>;//AbstractSolution;
//SolutionsDefinitionBlock; [ADDED to AbstractSolutions.eSuperTypes];+-;//SolutionsDefinitionBlock; [REMOVED from .eSuperTypes]
//AbstractSolutions/solutions; [ADDED to AbstractSolutions.eStructuralFeatures];+-;//AbstractSolutions/solutions; [DELETED from .eStructuralFeatures]
//Constraint;;<>;//Constraint;
//AbstractConstraints; [ADDED to AbstractConstraint.eSuperTypes];+-;//AbstractConstraints; [REMOVED from .eSuperTypes]
//AbstractConstraint/constraint; [ADDED to AbstractConstraint.eStructuralFeatures];+-;//AbstractConstraint/constraint; [DELETED from .eStructuralFeatures]
//AbstractConstraint;;<>;//AbstractConstraint;
//Constraints; [ADDED to AbstractConstraints.eSuperTypes];+-;//Constraints; [REMOVED from .eSuperTypes]
//AbstractConstraints/constraints; [ADDED to AbstractConstraints.eStructuralFeatures];+-;//AbstractConstraints/constraints; [DELETED from .eStructuralFeatures]
//Assumption;;<>;//Assumption;
//AbstractAssumptions; [ADDED to AbstractAssumption.eSuperTypes];+-;//AbstractAssumptions; [REMOVED from .eSuperTypes]
//AbstractAssumption/assumption; [ADDED to AbstractAssumption.eStructuralFeatures];+-;//AbstractAssumption/assumption; [DELETED from .eStructuralFeatures]
//AbstractAssumption;;<>;//AbstractAssumption;
//Assumptions; [ADDED to AbstractAssumptions.eSuperTypes];+-;//Assumptions; [REMOVED from .eSuperTypes]
//AbstractAssumptions/assumptions; [ADDED to AbstractAssumptions.eStructuralFeatures];+-;//AbstractAssumptions/assumptions; [DELETED from .eStructuralFeatures]
//EString;;<>;//EString;
//EString;;<>;//EString;
//Status;;<>;//Status;
//SolutionDecision;;<>;//SolutionDecision;
